Defense_Rank,Ticker,Name,Group,Role,Start,End,Start_Close,End_Close,Close_Return_%,Relative_Return_vs_Benchmark_pp,Period_High,Period_High_Date,Period_Low,Period_Low_Date,High_to_Low_Range_%,Worst_Peak_to_Trough_Drawdown_%,Worst_DD_Peak_Date,Worst_DD_Trough_Date,Rebound_From_Period_Low_%,Current_vs_Period_High_%,Half_Recovery_Level,Half_Recovered
1,XLU,Utilities Select Sector SPDR,US Sector,Defensive / Utilities,2025-11-06,2026-05-06,44.22999954223633,45.709999084472656,3.346144150019814,-8.610532787593005,47.79999923706055,2026-02-27,41.7400016784668,2026-01-07,-12.677819362589615,-7.960301912059242,2025-11-28,2026-01-07,9.511253584960766,-4.372385326247996,44.77000045776367,True
2,RSP,Invesco S&P 500 Equal Weight ETF,US Style,Equal-weight,2025-11-06,2026-05-06,186.0,204.85000610351562,10.13441188361055,-1.82226505400227,205.50999450683594,2026-05-06,182.11000061035156,2025-11-20,-11.386304570070926,-8.711754241016145,2026-02-12,2026-03-30,12.486961406265284,-0.32114662107022296,193.80999755859375,True
3,XLRE,Real Estate Select Sector SPDR,US Sector,Rate-sensitive / REITs,2025-11-06,2026-05-06,40.72999954223633,44.7400016784668,9.84532821335331,-2.1113487242595097,44.90999984741211,2026-05-06,39.724998474121094,2025-12-22,-11.545315945018409,-9.371456992772076,2026-03-02,2026-03-27,12.62430055878474,-0.37853077159408777,42.3174991607666,True
4,SPY,SPDR S&P 500 ETF,US Benchmark,Benchmark,2025-11-06,2026-05-06,670.3099975585938,733.8300170898438,9.476215446972724,-2.4804614906400957,734.5900268554688,2026-05-06,629.280029296875,2026-03-30,-14.33588718994596,-9.824600899941405,2026-01-28,2026-03-30,16.614223068510125,-0.10346039802341389,681.9350280761719,True
5,OIH,VanEck Oil Services ETF,Industry,Oil Services,2025-11-06,2026-05-06,283.5299987792969,432.5899963378906,52.57291933846613,40.61624240085331,450.8500061035156,2026-04-29,270.54998779296875,2025-11-21,-39.99113138952688,-10.048473072735863,2025-12-11,2025-12-26,59.892816801351586,-4.050129648092426,360.6999969482422,True
6,ACWI,iShares MSCI ACWI ETF,Global Benchmark,Benchmark,2025-11-06,2026-05-06,139.33999633789062,155.39999389648438,11.525762868293231,-0.43091406931958787,155.47000122070312,2026-05-06,133.64999389648438,2026-03-30,-14.034866632079945,-10.151264607405464,2026-02-25,2026-03-30,16.273850350375607,-0.04502947428383086,144.55999755859375,True
7,VT,Vanguard Total World Stock ETF,Global Benchmark,Benchmark,2025-11-06,2026-05-06,138.5,155.05999755859375,11.95667693761282,0.0,155.1699981689453,2026-05-06,133.64999389648438,2026-03-30,-13.86866309621947,-10.344142127931022,2026-02-26,2026-03-30,16.019457268880988,-0.07089038580241347,144.40999603271484,True
8,XBI,SPDR S&P Biotech ETF,Industry,Biotech Equal-weight,2025-11-06,2026-05-06,109.29000091552734,137.67999267578125,25.976751324393497,14.020074386780678,139.19000244140625,2026-04-17,106.30000305175781,2025-11-07,-23.629570236909714,-10.52312384120878,2026-01-22,2026-03-24,29.52021516758041,-1.0848550464396034,122.74500274658203,True
9,XLP,Consumer Staples Select Sector SPDR,US Sector,Defensive / Staples,2025-11-06,2026-05-06,75.5999984741211,84.23999786376953,11.428570851897613,-0.5281060857152076,90.13999938964844,2026-02-17,75.16000366210938,2025-11-06,-16.61858867203336,-10.738851087997038,2026-02-17,2026-04-15,12.080885789309349,-6.5453755999874685,82.6500015258789,True
10,IBB,iShares Biotechnology ETF,Industry,Biotech,2025-11-06,2026-05-06,158.42999267578125,173.8699951171875,9.745630975950004,-2.2110459616628164,179.63999938964844,2026-01-07,154.97999572753906,2025-11-07,-13.72745699504293,-11.111114886263662,2026-01-07,2026-03-24,12.18866944793171,-3.2119819038439745,167.30999755859375,True
11,XLC,Communication Services Select Sector SPDR,US Sector,Communication,2025-11-06,2026-05-06,112.4000015258789,117.3499984741211,4.403911815875294,-7.552765121737526,120.40499877929688,2026-02-02,106.72000122070312,2026-03-27,-11.365805155380993,-11.365805155380993,2026-02-02,2026-03-27,9.960641990093787,-2.5372703261063223,113.5625,True
12,XLV,Health Care Select Sector SPDR,US Sector,Defensive / Healthcare,2025-11-06,2026-05-06,145.94000244140625,145.39999389648438,-0.37002092359063044,-12.326697861203451,160.58999633789062,2026-01-07,141.97000122070312,2026-04-29,-11.594741603960157,-11.594741603960157,2026-01-07,2026-04-29,2.415998201232017,-9.45887215131732,151.27999877929688,False
13,VXUS,Vanguard Total International Stock ETF,Global Region,Ex-US,2025-11-06,2026-05-06,74.05999755859375,85.62000274658203,15.60897322315249,3.652296285539669,85.66999816894531,2026-05-06,72.11000061035156,2025-11-21,-15.828175380432242,-11.841475880503472,2026-02-25,2026-03-30,18.735268370377845,-0.05835814571244491,78.88999938964844,True
14,IWM,iShares Russell 2000 ETF,US Style,Small-cap,2025-11-06,2026-05-06,240.35000610351562,286.79998779296875,19.32597483248979,7.369297894876969,287.04998779296875,2026-05-06,228.89999389648438,2025-11-20,-20.257793544455517,-12.117085023026952,2026-01-22,2026-03-30,25.294886605662615,-0.08709284467216527,257.97499084472656,True
15,EWZ,iShares MSCI Brazil ETF,Global Region,Brazil,2025-11-06,2026-05-06,32.040000915527344,39.900001525878906,24.531836409974694,12.575159472361875,42.02000045776367,2026-04-14,30.719999313354492,2025-12-17,-26.89195864185522,-12.27009095588013,2026-02-25,2026-03-20,29.88282037016099,-5.045213966657802,36.36999988555908,True
16,VEA,Vanguard FTSE Developed Markets ETF,Global Region,Developed ex-US,2025-11-06,2026-05-06,60.41999816894531,70.87000274658203,17.295605584787687,5.338928647174868,70.94000244140625,2026-05-06,58.880001068115234,2025-11-20,-17.00028327917259,-12.572646864486604,2026-02-27,2026-03-20,20.363453568209323,-0.09867450298163272,64.91000175476074,True
17,QQQ,Invesco QQQ Trust / Nasdaq 100,US Style,Growth / Mega-cap,2025-11-06,2026-05-06,611.6699829101562,695.77001953125,13.749250244546761,1.7925733069339422,695.9299926757812,2026-05-06,555.5999755859375,2026-03-30,-20.164387016902207,-12.723845916809251,2026-01-28,2026-03-30,25.228590731576016,-0.022986959351500857,625.7649841308594,True
18,XLI,Industrial Select Sector SPDR,US Sector,Cyclical / Industrials,2025-11-06,2026-05-06,152.58999633789062,176.8699951171875,15.91192041549827,3.9552434778854506,179.30999755859375,2026-03-02,147.13999938964844,2025-11-21,-17.940995263486638,-12.955215015240917,2026-03-02,2026-03-30,20.205243883962275,-1.3607732277219675,163.2249984741211,True
19,IYT,iShares U.S. Transportation ETF,Industry,Transportation,2025-11-06,2026-05-06,71.05999755859375,81.61000061035156,14.846613304565093,2.8899363669522726,83.23999786376953,2026-04-21,68.0999984741211,2025-11-20,-18.188370709026856,-13.27795692767303,2026-02-11,2026-03-30,19.838476415479576,-1.9581899270175618,75.66999816894531,True
20,XLB,Materials Select Sector SPDR,US Sector,Cyclical / Materials,2025-11-06,2026-05-06,42.400001525878906,52.40999984741211,23.6084857577743,11.651808820161481,54.13999938964844,2026-02-12,42.21500015258789,2025-11-20,-22.0262271361248,-13.686737958901606,2026-02-12,2026-03-20,24.15018277383385,-3.1954184738448688,48.177499771118164,True
21,EZU,iShares MSCI Eurozone ETF,Global Region,Eurozone,2025-11-06,2026-05-06,61.54999923706055,68.72000122070312,11.649069167372739,-0.30760777024008146,69.44000244140625,2026-02-25,59.91999816894531,2026-03-20,-13.709683090080471,-13.709683090080471,2026-02-25,2026-03-20,14.686253872949194,-1.0368680809172859,64.68000030517578,True
22,FEZ,SPDR EURO STOXX 50 ETF,Global Region,Eurozone Large-cap,2025-11-06,2026-05-06,61.939998626708984,67.97000122070312,9.73523204340847,-2.2214448942043497,69.44000244140625,2026-02-26,59.56999969482422,2026-03-30,-14.21371313301779,-14.21371313301779,2026-02-26,2026-03-30,14.101060213046711,-2.1169371673676385,64.50500106811523,True
23,EWJ,iShares MSCI Japan ETF,Global Region,Japan,2025-11-06,2026-05-06,82.95999908447266,91.68000030517578,10.511091269208105,-1.4455856684047141,94.27999877929688,2026-02-12,79.4800033569336,2025-11-20,-15.697916434013825,-14.244803223443503,2026-02-12,2026-03-20,15.349769039960526,-2.75774131076042,86.88000106811523,True
24,XLK,Technology Select Sector SPDR,US Sector,Growth / Technology,2025-11-06,2026-05-06,144.5800018310547,170.02999877929688,17.60270896799485,5.646032030382031,170.0800018310547,2026-05-06,126.68000030517578,2026-03-30,-25.51740419722559,-15.490323240001935,2026-01-28,2026-03-30,34.22008080966978,-0.02939972437646654,148.38000106811523,True
25,FXI,iShares China Large-Cap ETF,Global Region,China Large-cap,2025-11-06,2026-05-06,40.13999938964844,37.4900016784668,-6.6018877714907,-18.55856470910352,41.220001220703125,2025-11-13,34.77000045776367,2026-03-27,-15.647745201181317,-15.647745201181317,2025-11-13,2026-03-27,7.822839185772246,-9.049003958696877,37.9950008392334,False
26,XLF,Financial Select Sector SPDR,US Sector,Cyclical / Financials,2025-11-06,2026-05-06,52.40999984741211,51.84000015258789,-1.0875781272347451,-13.044255064847565,56.52000045776367,2026-01-06,47.66999816894531,2026-03-27,-15.658178020419156,-15.658178020419156,2026-01-06,2026-03-27,8.747644522376197,-8.280255249950075,52.09499931335449,False
27,XLE,Energy Select Sector SPDR,US Sector,Cyclical / Energy,2025-11-06,2026-05-06,44.1349983215332,57.0,29.149206225731383,17.192529288118564,63.459999084472656,2026-03-30,43.77000045776367,2025-12-16,-31.027417130118927,-15.836746583754003,2026-03-30,2026-04-17,30.226180954699224,-10.179639422738795,53.614999771118164,True
